;Razón Social;Marca;Importe;Fecha;Provincia;CCAA;CIF;Axesor URL;Dirección;Constitución;CNAE;SIC
1482;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;200.000,00 €;11/07/2012;Barcelona;Cataluña;B62596754;;;;;
1483;ILINE MICROSYSTEMS, S.L.;ILINE  MICROSYSTEMS;250.000,00 €;03/05/2012;Guipuzkoa;País Vasco;B20956751;;;;;
1484;ILINE MICROSYSTEMS, S.L.;ILINE  MICROSYSTEMS;250.000,00 €;03/05/2012;Guipuzkoa;País Vasco;B20956751;;;;;
1485;PRORETINA THERAPEUTICS, S.L.;PRORETINA;100.000,00 €;11/04/2012;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1486;PRORETINA THERAPEUTICS, S.L.;PRORETINA;100.000,00 €;11/04/2012;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1487;PRORETINA THERAPEUTICS, S.L.;PRORETINA;100.000,00 €;11/04/2012;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1488;ABIQUO HOLDINGS, S.L.;ABIQUO;400.000,00 €;10/06/2011;Barcelona;Cataluña;B64158447;;;;;
1489;ABIQUO HOLDINGS, S.L.;ABIQUO;400.000,00 €;10/06/2011;Barcelona;Cataluña;B64158447;;;;;
1490;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;200.000,00 €;23/02/2011;Barcelona;Cataluña;B62596754;;;;;
1491;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;200.000,00 €;23/02/2011;Barcelona;Cataluña;B62596754;;;;;
1492;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;200.000,00 €;23/02/2011;Barcelona;Cataluña;B62596754;;;;;
1493;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;200.000,00 €;23/02/2011;Barcelona;Cataluña;B62596754;;;;;
1494;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;200.000,00 €;23/02/2011;Barcelona;Cataluña;B62596754;;;;;
1495;MICROMAG 2000, S.L.;MICROMAG;150.000,00 €;09/02/2011;Madrid;Madrid, Comunidad de;B82595810;;;;;
1496;MICROMAG 2000, S.L.;MICROMAG;150.000,00 €;09/02/2011;Madrid;Madrid, Comunidad de;B82595810;;;;;
1497;MICROMAG 2000, S.L.;MICROMAG;150.000,00 €;09/02/2011;Madrid;Madrid, Comunidad de;B82595810;;;;;
1498;PRORETINA THERAPEUTICS, S.L.;PRORETINA;300.000,00 €;12/01/2011;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1499;PRORETINA THERAPEUTICS, S.L.;PRORETINA;300.000,00 €;12/01/2011;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1500;PRORETINA THERAPEUTICS, S.L.;PRORETINA;300.000,00 €;12/01/2011;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1501;ULISES ONLINE, S.L.;ULISES ONLINE;150.000,00 €;27/10/2010;Barcelona;Cataluña;B64861040;;;;;
1502;ULISES ONLINE, S.L.;ULISES ONLINE;150.000,00 €;27/10/2010;Barcelona;Cataluña;B64861040;;;;;
1503;SALIR Y OCIO, S.L.;SALIR Y OCIO;200.000,00 €;13/10/2010;Barcelona;Cataluña;B64655004;;;;;
1504;SALIR Y OCIO, S.L.;SALIR Y OCIO;200.000,00 €;13/10/2010;Barcelona;Cataluña;B64655004;;;;;
1505;ALQUIMIA SOLUCIONES AMBIENTALES, S.L.;ALQUIMIA;450.000,00 €;22/09/2010;Ciudad Real;Castilla - La Mancha;B84259985;;;;;
1506;ALQUIMIA SOLUCIONES AMBIENTALES, S.L.;ALQUIMIA;450.000,00 €;22/09/2010;Ciudad Real;Castilla - La Mancha;B84259985;;;;;
1507;ON LASER SYSTEMS & APPLICATIONS, S.L.;ON LASER;100.000,00 €;28/07/2010;Barcelona;Cataluña;;;;;;
1508;ABIQUO HOLDINGS, S.L.;ABIQUO;300.000,00 €;21/07/2010;Barcelona;Cataluña;B64158447;;;;;
1509;ABIQUO HOLDINGS, S.L.;ABIQUO;300.000,00 €;21/07/2010;Barcelona;Cataluña;B64158447;;;;;
1510;NEUROTEC PHARMA, S.L.;NEUROTEC;75.000,00 €;21/07/2010;Barcelona;Cataluña;B64064884;;;;;
1511;NEUROTEC PHARMA, S.L.;NEUROTEC;75.000,00 €;21/07/2010;Barcelona;Cataluña;B64064884;;;;;
1512;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;400.000,00 €;19/05/2010;Barcelona;Cataluña;B62596754;;;;;
1513;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;400.000,00 €;19/05/2010;Barcelona;Cataluña;B62596754;;;;;
1514;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;400.000,00 €;19/05/2010;Barcelona;Cataluña;B62596754;;;;;
1515;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;400.000,00 €;19/05/2010;Barcelona;Cataluña;B62596754;;;;;
1516;DIGITAL LEGENDS ENTERTAINMENT, S.L.;DLE;400.000,00 €;19/05/2010;Barcelona;Cataluña;B62596754;;;;;
1517;EMBENTION SISTEMAS INTELIGENTES, S.L.;EMBENTION;130.000,00 €;06/05/2010;Alicante/Alacant;Comunitat Valenciana;B54249602;;;;;
1518;EMBENTION SISTEMAS INTELIGENTES, S.L.;EMBENTION;130.000,00 €;06/05/2010;Alicante/Alacant;Comunitat Valenciana;B54249602;;;;;
1519;CORSAIR BAND, S.L.;CORSAIR BAND (LEMONQUEST);350.000,00 €;28/04/2010;Madrid;Madrid, Comunidad de;B85475820;;;;;
1520;CORSAIR BAND, S.L.;CORSAIR BAND (LEMONQUEST);350.000,00 €;28/04/2010;Madrid;Madrid, Comunidad de;B85475820;;;;;
1521;KIMIA SOLUTIONS, S.L.;KIMIASOL;400.000,00 €;24/03/2010;Madrid;Madrid, Comunidad de;B84790187;;;;;
1522;KIMIA SOLUTIONS, S.L.;KIMIASOL;400.000,00 €;24/03/2010;Madrid;Madrid, Comunidad de;B84790187;;;;;
1523;NEW BROADBAND NETWORK SOLUTIONS, S.L.;NEW BROADBAND;250.000,00 €;24/03/2010;Madrid;Madrid, Comunidad de;B84545219;;;;;
1524;NEW BROADBAND NETWORK SOLUTIONS, S.L.;NEW BROADBAND;250.000,00 €;24/03/2010;Madrid;Madrid, Comunidad de;B84545219;;;;;
1525;NEW BROADBAND NETWORK SOLUTIONS, S.L.;NEW BROADBAND;250.000,00 €;24/03/2010;Madrid;Madrid, Comunidad de;B84545219;;;;;
1526;MOTIVE TELEVISION, S.L.;MOTIVE TELEVISION (ADECQ DIGITAL);150.000,00 €;17/02/2010;Barcelona;Cataluña;B64009889;;;;;
1527;MOTIVE TELEVISION, S.L.;MOTIVE TELEVISION (ADECQ DIGITAL);150.000,00 €;17/02/2010;Barcelona;Cataluña;B64009889;;;;;
1528;BIOGAS FUEL CELL, S.A.;BIOGAS;150.000,00 €;16/02/2010;Asturias;Asturias, Principado de;A74089079;;;;;
1529;BIOGAS FUEL CELL, S.A.;BIOGAS;150.000,00 €;16/02/2010;Asturias;Asturias, Principado de;A74089079;;;;;
1530;BIOGAS FUEL CELL, S.A.;BIOGAS;150.000,00 €;16/02/2010;Asturias;Asturias, Principado de;A74089079;;;;;
1531;AQUAMOBILE, S.L.;AQUAMOBILE;350.000,00 €;10/02/2010;Madrid;Madrid, Comunidad de;B84615673;;;;;
1532;AQUAMOBILE, S.L.;AQUAMOBILE;350.000,00 €;10/02/2010;Madrid;Madrid, Comunidad de;B84615673;;;;;
1533;ILINE MICROSYSTEMS, S.L.;ILINE  MICROSYSTEMS;100.000,00 €;30/12/2009;Guipuzkoa;País Vasco;B20956751;;;;;
1534;ILINE MICROSYSTEMS, S.L.;ILINE  MICROSYSTEMS;100.000,00 €;30/12/2009;Guipuzkoa;País Vasco;B20956751;;;;;
1535;ERA BIOTECH, S.A.;ERA BIOTECH;400.000,00 €;29/12/2009;Barcelona;Cataluña;A62921226;;;;;
1536;ERA BIOTECH, S.A.;ERA BIOTECH;400.000,00 €;29/12/2009;Barcelona;Cataluña;A62921226;;;;;
1537;ALQUIMIA SOLUCIONES AMBIENTALES, S.L.;ALQUIMIA;450.000,00 €;17/12/2009;Ciudad Real;Castilla - La Mancha;B84259985;;;;;
1538;ALQUIMIA SOLUCIONES AMBIENTALES, S.L.;ALQUIMIA;450.000,00 €;17/12/2009;Ciudad Real;Castilla - La Mancha;B84259985;;;;;
1539;AIDA CENTRE, S.L.;AIDA RFID;400.000,00 €;17/12/2009;Barcelona;Cataluña;B63549638;;;;;
1540;AIDA CENTRE, S.L.;AIDA RFID;400.000,00 €;17/12/2009;Barcelona;Cataluña;B63549638;;;;;
1541;NANOBIOMATTERS INDUSTRIES, S.L.;NANOBIOMATTERS IND (antes Hybrid);200.000,00 €;02/12/2009;Valencia/València;Comunitat Valenciana;B12687679;;;;;
1542;NANOBIOMATTERS INDUSTRIES, S.L.;NANOBIOMATTERS IND (antes Hybrid);200.000,00 €;02/12/2009;Valencia/València;Comunitat Valenciana;B12687679;;;;;
1543;PRORETINA THERAPEUTICS, S.L.;PRORETINA;300.000,00 €;02/12/2009;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1544;PRORETINA THERAPEUTICS, S.L.;PRORETINA;300.000,00 €;02/12/2009;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1545;PRORETINA THERAPEUTICS, S.L.;PRORETINA;300.000,00 €;02/12/2009;Navarra;Navarra, Comunidad Foral de;B85163574;;;;;
1546;MICROMAG 2000, S.L.;MICROMAG;150.000,00 €;11/11/2009;Madrid;Madrid, Comunidad de;B82595810;;;;;
1547;MICROMAG 2000, S.L.;MICROMAG;150.000,00 €;11/11/2009;Madrid;Madrid, Comunidad de;B82595810;;;;;
1548;MICROMAG 2000, S.L.;MICROMAG;150.000,00 €;11/11/2009;Madrid;Madrid, Comunidad de;B82595810;;;;;
1549;ACUIVAS, S.L.;ACUIVAS;200.000,00 €;11/11/2009;Guipuzkoa;País Vasco;B20859716;;;;;
1550;ACUIVAS, S.L.;ACUIVAS;200.000,00 €;11/11/2009;Guipuzkoa;País Vasco;B20859716;;;;;
1551;CITROTECNO, S.L.;CITROTECNO;450.000,00 €;04/11/2009;Valencia/València;Comunitat Valenciana;B98011810;;;;;
1552;CITROTECNO, S.L.;CITROTECNO;450.000,00 €;04/11/2009;Valencia/València;Comunitat Valenciana;B98011810;;;;;
1553;ARCHIVEL FARMA, S.L.;ARCHIVEL FARMA;550.000,00 €;21/10/2009;Barcelona;Cataluña;B63919906;;;;;
1554;ARCHIVEL FARMA, S.L.;ARCHIVEL FARMA;550.000,00 €;21/10/2009;Barcelona;Cataluña;B63919906;;;;;
1555;NEW BROADBAND NETWORK SOLUTIONS, S.L.;NEW BROADBAND;250.000,00 €;09/09/2009;Madrid;Madrid, Comunidad de;B84545219;;;;;
1556;NEW BROADBAND NETWORK SOLUTIONS, S.L.;NEW BROADBAND;250.000,00 €;09/09/2009;Madrid;Madrid, Comunidad de;B84545219;;;;;
1557;NEW BROADBAND NETWORK SOLUTIONS, S.L.;NEW BROADBAND;250.000,00 €;09/09/2009;Madrid;Madrid, Comunidad de;B84545219;;;;;
1558;NUROA INTERNET, S.L.;NUROA (GOA INTERNET SERVICES);100.000,00 €;04/09/2009;Barcelona;Cataluña;B64183445;;;;;
1559;NUROA INTERNET, S.L.;NUROA (GOA INTERNET SERVICES);100.000,00 €;04/09/2009;Barcelona;Cataluña;B64183445;;;;;
1560;NUROA INTERNET, S.L.;NUROA (GOA INTERNET SERVICES);100.000,00 €;04/09/2009;Barcelona;Cataluña;B64183445;;;;;
1561;ULISES ONLINE, S.L.;ULISES ONLINE;200.000,00 €;29/07/2009;Barcelona;Cataluña;B64861040;;;;;
1562;ULISES ONLINE, S.L.;ULISES ONLINE;200.000,00 €;29/07/2009;Barcelona;Cataluña;B64861040;;;;;
1563;SALIR Y OCIO, S.L.;SALIR Y OCIO;200.000,00 €;09/07/2009;Barcelona;Cataluña;B64655004;;;;;
1564;SALIR Y OCIO, S.L.;SALIR Y OCIO;200.000,00 €;09/07/2009;Barcelona;Cataluña;B64655004;;;;;
1565;NEUROTEC PHARMA, S.L.;NEUROTEC;75.000,00 €;02/07/2009;Barcelona;Cataluña;B64064884;;;;;
1566;NEUROTEC PHARMA, S.L.;NEUROTEC;75.000,00 €;02/07/2009;Barcelona;Cataluña;B64064884;;;;;
1567;CORSAIR BAND, S.L.;CORSAIR BAND (LEMONQUEST);300.000,00 €;02/07/2009;Madrid;Madrid, Comunidad de;B85475820;;;;;
1568;CORSAIR BAND, S.L.;CORSAIR BAND (LEMONQUEST);300.000,00 €;02/07/2009;Madrid;Madrid, Comunidad de;B85475820;;;;;
1569;VENTER PHARMA, S.L.;VENTER PHARMA;200.000,00 €;11/03/2009;Madrid;Madrid, Comunidad de;B83576900;;;;;
1570;VENTER PHARMA, S.L.;VENTER PHARMA;200.000,00 €;11/03/2009;Madrid;Madrid, Comunidad de;B83576900;;;;;
1571;VENTER PHARMA, S.L.;VENTER PHARMA;200.000,00 €;11/03/2009;Madrid;Madrid, Comunidad de;B83576900;;;;;
1572;ACUIVAS, S.L.;ACUIVAS;400.000,00 €;30/01/2009;Guipuzkoa;País Vasco;B20859716;;;;;
1573;ACUIVAS, S.L.;ACUIVAS;400.000,00 €;30/01/2009;Guipuzkoa;País Vasco;B20859716;;;;;
1574;CITROTECNO, S.L.;CITROTECNO;450.000,00 €;21/01/2009;Valencia/València;Comunitat Valenciana;B98011810;;;;;
1575;CITROTECNO, S.L.;CITROTECNO;450.000,00 €;21/01/2009;Valencia/València;Comunitat Valenciana;B98011810;;;;;
1576;NANOBIOMATTERS INDUSTRIES, S.L.;NANOBIOMATTERS IND (antes Hybrid);450.000,00 €;30/12/2008;Valencia/València;Comunitat Valenciana;B12687679;;;;;
1577;NANOBIOMATTERS INDUSTRIES, S.L.;NANOBIOMATTERS IND (antes Hybrid);450.000,00 €;30/12/2008;Valencia/València;Comunitat Valenciana;B12687679;;;;;
1578;BIOGAS FUEL CELL, S.A.;BIOGAS;250.000,00 €;30/12/2008;Asturias;Asturias, Principado de;A74089079;;;;;
1579;BIOGAS FUEL CELL, S.A.;BIOGAS;250.000,00 €;30/12/2008;Asturias;Asturias, Principado de;A74089079;;;;;
1580;BIOGAS FUEL CELL, S.A.;BIOGAS;250.000,00 €;30/12/2008;Asturias;Asturias, Principado de;A74089079;;;;;
1581;KIMIA SOLUTIONS, S.L.;KIMIASOL;300.000,00 €;17/12/2008;Madrid;Madrid, Comunidad de;B84790187;;;;;
1582;KIMIA SOLUTIONS, S.L.;KIMIASOL;300.000,00 €;17/12/2008;Madrid;Madrid, Comunidad de;B84790187;;;;;
1583;TECHNICAL & RACING COMPOSITES, S.L.;TR COMPOSITES;200.000,00 €;17/12/2008;Barcelona;Cataluña;;;;;;
1584;ARSON TECHNOLOGY AND INNOVATION COMPANY, S.L.;ARSON;300.000,00 €;17/12/2008;Bizkaia;País Vasco;B95251609;;;;;
1585;ARSON TECHNOLOGY AND INNOVATION COMPANY, S.L.;ARSON;300.000,00 €;17/12/2008;Bizkaia;País Vasco;B95251609;;;;;
1586;ARSON TECHNOLOGY AND INNOVATION COMPANY, S.L.;ARSON;300.000,00 €;17/12/2008;Bizkaia;País Vasco;B95251609;;;;;
1587;ERA BIOTECH, S.A.;ERA BIOTECH;400.000,00 €;10/12/2008;Barcelona;Cataluña;A62921226;;;;;
1588;ERA BIOTECH, S.A.;ERA BIOTECH;400.000,00 €;10/12/2008;Barcelona;Cataluña;A62921226;;;;;
1589;EMBENTION SISTEMAS INTELIGENTES, S.L.;EMBENTION;100.000,00 €;10/12/2008;Alicante/Alacant;Comunitat Valenciana;B54249602;;;;;
1590;EMBENTION SISTEMAS INTELIGENTES, S.L.;EMBENTION;100.000,00 €;10/12/2008;Alicante/Alacant;Comunitat Valenciana;B54249602;;;;;
1591;METALLIED POWDER SOLUTIONS, S.A.;METALLIED;300.000,00 €;26/11/2008;Guipuzkoa;País Vasco;A20935433;;;;;
1592;METALLIED POWDER SOLUTIONS, S.A.;METALLIED;300.000,00 €;26/11/2008;Guipuzkoa;País Vasco;A20935433;;;;;
1593;ON LASER SYSTEMS & APPLICATIONS, S.L.;ON LASER;150.000,00 €;12/11/2008;Barcelona;Cataluña;;;;;;
1594;AQUAMOBILE, S.L.;AQUAMOBILE;450.000,00 €;27/10/2008;Madrid;Madrid, Comunidad de;B84615673;;;;;
1595;AQUAMOBILE, S.L.;AQUAMOBILE;450.000,00 €;27/10/2008;Madrid;Madrid, Comunidad de;B84615673;;;;;
1596;AIDA CENTRE, S.L.;AIDA RFID;250.000,00 €;20/10/2008;Barcelona;Cataluña;B63549638;;;;;
1597;AIDA CENTRE, S.L.;AIDA RFID;250.000,00 €;20/10/2008;Barcelona;Cataluña;B63549638;;;;;
1598;MOTIVE TELEVISION, S.L.;MOTIVE TELEVISION (ADECQ DIGITAL);150.000,00 €;15/10/2008;Barcelona;Cataluña;B64009889;;;;;
1599;MOTIVE TELEVISION, S.L.;MOTIVE TELEVISION (ADECQ DIGITAL);150.000,00 €;15/10/2008;Barcelona;Cataluña;B64009889;;;;;
1600;CARBURES EUROPE, SA (EASY INDUSTRIAL SOLUTIONS, S.A.;CARBURES EUROPE, SA (EASY INDUSTRIAL SOLUTIONS, SL;400.000,00 €;17/09/2008;Cadiz;Andalucía;;;;;;
1601;ARCHIVEL FARMA, S.L.;ARCHIVEL FARMA;300.000,00 €;10/09/2008;Barcelona;Cataluña;B63919906;;;;;
1602;ARCHIVEL FARMA, S.L.;ARCHIVEL FARMA;300.000,00 €;10/09/2008;Barcelona;Cataluña;B63919906;;;;;
1603;ICIM LAB, S.L.;ICIM LAB;150.000,00 €;29/07/2008;Bizkaia;País Vasco;B95275723;;;;;
1604;ICIM LAB, S.L.;ICIM LAB;150.000,00 €;29/07/2008;Bizkaia;País Vasco;B95275723;;;;;
1605;TECNOLOGÍAS, SERVICIOS Y APOYOS A LA DEPENDENCIA, S.L.;TSAD;100.000,00 €;10/07/2008;Madrid;Madrid, Comunidad de;;;;;;
1606;SOL 3G, S.L.;SOL 3G;350.000,00 €;18/06/2008;Sevilla;Andalucía;;;;;;
1607;CARBONGEN, S.A.;CARBONGEN;300.000,00 €;22/05/2008;Alicante/Alacant;Comunitat Valenciana;A53702445;;;;;
1608;CARBONGEN, S.A.;CARBONGEN;300.000,00 €;22/05/2008;Alicante/Alacant;Comunitat Valenciana;A53702445;;;;;
1609;VERDTECH NUEVO CAMPO, S.A.;VERDTECH NUEVO CAMPO;250.000,00 €;22/05/2008;Huelva;Andalucía;A21288709;;;;;
1610;VERDTECH NUEVO CAMPO, S.A.;VERDTECH NUEVO CAMPO;250.000,00 €;22/05/2008;Huelva;Andalucía;A21288709;;;;;
1611;TECHNICAL & RACING COMPOSITES, S.L.;TR COMPOSITES;200.000,00 €;05/03/2008;Barcelona;Cataluña;;;;;;
1612;NUROA INTERNET, S.L.;NUROA (GOA INTERNET SERVICES);200.000,00 €;06/02/2008;Barcelona;Cataluña;B64183445;;;;;
1613;NUROA INTERNET, S.L.;NUROA (GOA INTERNET SERVICES);200.000,00 €;06/02/2008;Barcelona;Cataluña;B64183445;;;;;
1614;NUROA INTERNET, S.L.;NUROA (GOA INTERNET SERVICES);200.000,00 €;06/02/2008;Barcelona;Cataluña;B64183445;;;;;
1615;MOBILE SECURITY SOFTWARE, S.L.;MOSSEC;182.000,00 €;23/01/2008;Huesca;Aragón;B22311237;;;;;
1616;MOBILE SECURITY SOFTWARE, S.L.;MOSSEC;182.000,00 €;23/01/2008;Huesca;Aragón;B22311237;;;;;
1617;ARSON TECHNOLOGY AND INNOVATION COMPANY, S.L.;ARSON;300.000,00 €;27/12/2007;Bizkaia;País Vasco;B95251609;;;;;
1618;ARSON TECHNOLOGY AND INNOVATION COMPANY, S.L.;ARSON;300.000,00 €;27/12/2007;Bizkaia;País Vasco;B95251609;;;;;
1619;ARSON TECHNOLOGY AND INNOVATION COMPANY, S.L.;ARSON;300.000,00 €;27/12/2007;Bizkaia;País Vasco;B95251609;;;;;
1620;VENTER PHARMA, S.L.;VENTER PHARMA;300.000,00 €;19/12/2007;Madrid;Madrid, Comunidad de;B83576900;;;;;
1621;VENTER PHARMA, S.L.;VENTER PHARMA;300.000,00 €;19/12/2007;Madrid;Madrid, Comunidad de;B83576900;;;;;
1622;VENTER PHARMA, S.L.;VENTER PHARMA;300.000,00 €;19/12/2007;Madrid;Madrid, Comunidad de;B83576900;;;;;
1623;METALLIED POWDER SOLUTIONS, S.A.;METALLIED;200.000,00 €;15/11/2007;Guipuzkoa;País Vasco;A20935433;;;;;
1624;METALLIED POWDER SOLUTIONS, S.A.;METALLIED;200.000,00 €;15/11/2007;Guipuzkoa;País Vasco;A20935433;;;;;
1625;ECOPRODUCTOS DE CASTILLA-LA MANCHA, S.A.;ECOPRODUCTO;300.000,00 €;17/10/2007;Cuenca;Castilla - La Mancha;A83381616;;;;;
1626;ECOPRODUCTOS DE CASTILLA-LA MANCHA, S.A.;ECOPRODUCTO;300.000,00 €;17/10/2007;Cuenca;Castilla - La Mancha;A83381616;;;;;
1627;W-ONE SYS, S.L.;W-ONE SYS;100.000,00 €;25/09/2007;Barcelona;Cataluña;B63078489;;;;;
1628;W-ONE SYS, S.L.;W-ONE SYS;100.000,00 €;25/09/2007;Barcelona;Cataluña;B63078489;;;;;
1629;CARBURES EUROPE, SA (EASY INDUSTRIAL SOLUTIONS, S.A.;CARBURES EUROPE, SA (EASY INDUSTRIAL SOLUTIONS, SL;600.000,00 €;25/07/2007;Cadiz;Andalucía;;;;;;
1630;CARBONGEN, S.A.;CARBONGEN;300.000,00 €;11/07/2007;Alicante/Alacant;Comunitat Valenciana;A53702445;;;;;
1631;CARBONGEN, S.A.;CARBONGEN;300.000,00 €;11/07/2007;Alicante/Alacant;Comunitat Valenciana;A53702445;;;;;
1632;SOL 3G, S.L.;SOL 3G;350.000,00 €;11/07/2007;Sevilla;Andalucía;;;;;;
1633;TECNOLOGÍAS, SERVICIOS Y APOYOS A LA DEPENDENCIA, S.L.;TSAD;100.000,00 €;13/06/2007;Madrid;Madrid, Comunidad de;;;;;;
1634;VERDTECH NUEVO CAMPO, S.A.;VERDTECH NUEVO CAMPO;250.000,00 €;16/05/2007;Huelva;Andalucía;A21288709;;;;;
1635;VERDTECH NUEVO CAMPO, S.A.;VERDTECH NUEVO CAMPO;250.000,00 €;16/05/2007;Huelva;Andalucía;A21288709;;;;;
1636;NEXTEL AEROSPACE, DEFENCE AND SECURITY, S.L.;NEXTEL AEROSPACE;250.000,00 €;22/12/2006;Madrid;Madrid, Comunidad de;B86084936;;;;;
1637;NEXTEL AEROSPACE, DEFENCE AND SECURITY, S.L.;NEXTEL AEROSPACE;250.000,00 €;22/12/2006;Madrid;Madrid, Comunidad de;B86084936;;;;;
1638;NEXTEL AEROSPACE, DEFENCE AND SECURITY, S.L.;NEXTEL AEROSPACE;250.000,00 €;22/12/2006;Madrid;Madrid, Comunidad de;B86084936;;;;;
1639;ICIM LAB, S.L.;ICIM LAB;150.000,00 €;21/12/2006;Bizkaia;País Vasco;B95275723;;;;;
1640;ICIM LAB, S.L.;ICIM LAB;150.000,00 €;21/12/2006;Bizkaia;País Vasco;B95275723;;;;;
1641;MOBILE SECURITY SOFTWARE, S.L.;MOSSEC;318.000,00 €;03/11/2006;Huesca;Aragón;B22311237;;;;;
1642;MOBILE SECURITY SOFTWARE, S.L.;MOSSEC;318.000,00 €;03/11/2006;Huesca;Aragón;B22311237;;;;;
1643;W-ONE SYS, S.L.;W-ONE SYS;100.000,00 €;23/10/2006;Barcelona;Cataluña;B63078489;;;;;
1644;W-ONE SYS, S.L.;W-ONE SYS;100.000,00 €;23/10/2006;Barcelona;Cataluña;B63078489;;;;;
1645;ECOPRODUCTOS DE CASTILLA-LA MANCHA, S.A.;ECOPRODUCTO;300.000,00 €;29/12/2005;Cuenca;Castilla - La Mancha;A83381616;;;;;
1646;ECOPRODUCTOS DE CASTILLA-LA MANCHA, S.A.;ECOPRODUCTO;300.000,00 €;29/12/2005;Cuenca;Castilla - La Mancha;A83381616;;;;;
1647;FIXME CORPORATE, S.L.;FIXME;67.000,00 €;23/04/2019;Bizkaia;País Vasco;B95921391;;;;;
1648;BE BETTER HOTELS, S.L.;Be Better Hotels;58.000,00 €;09/04/2019;Barcelona;Cataluña;B67246579;;;;;
1649;BEWOLFISH, S.L.;BEWOLFISH;58.000,00 €;04/04/2019;Girona;Cataluña;B55304158;;;;;
1650;HANNUN, S.L.;HANNUN;67.000,00 €;22/03/2019;Barcelona;Cataluña;B67120683;;;;;
1651;HANNUN, S.L.;HANNUN;67.000,00 €;22/03/2019;Barcelona;Cataluña;B67120683;;;;;
1652;EXOFA LOGISTICS, S.L.;Kauchy;61.000,00 €;21/03/2019;Barcelona;Cataluña;B66762493;;;;;
1653;PANACEA COOPERATIVE RESEARCH, S.Coop.;Panacea;58.000,00 €;19/03/2019;León;Castilla y León;;;;;;
1654;PICKS AND PICKERS, S.L.;Picker;58.000,00 €;15/03/2019;Barcelona;Cataluña;B67158360;;;;;
1655;STARMAN AVIATION, S.L.;aeroclAPP;64.000,00 €;15/03/2019;Girona;Cataluña;B55273395;;;;;
1656;SHARIFYAPP LABS, S.L.;Sharify;58.000,00 €;15/03/2019;Barcelona;Cataluña;B67112771;;;;;
1657;SHARIFYAPP LABS, S.L.;Sharify;58.000,00 €;15/03/2019;Barcelona;Cataluña;B67112771;;;;;
1658;WE ARE GRIT, S.L.;La Maquinita;58.000,00 €;15/03/2019;Barcelona;Cataluña;B67167619;;;;;
1659;VACIAR CACHE, S.L.;Howlanders;64.000,00 €;14/03/2019;Castellón/Castelló;Comunitat Valenciana;B12983813;;;;;
1660;ICOFUNDING, S.L.;ICOFUNDING;67.000,00 €;14/03/2019;Madrid;Madrid, Comunidad de;B87890588;;;;;
1661;ESCALANDO IDEAS, S.L.;SINGERFY;61.000,00 €;14/03/2019;Zaragoza;Aragón;B99465486;;;;;
1662;UTTOPY DESIGN, S.L.;Uttopy;44.000,00 €;12/03/2019;Barcelona;Cataluña;B66884784;;;;;
1663;GALANGAL ROOTS, S.L.U.;Galangal;60.000,00 €;12/03/2019;Barcelona;Cataluña;;;;;;
1664;HUGE THINGS FACTORY, S.L.;BARTY;58.000,00 €;08/03/2019;Madrid;Madrid, Comunidad de;B87578415;;;;;
1665;HAMSTERBRAND, S.L.;HAMSTER;40.000,00 €;08/03/2019;Barcelona;Cataluña;B67113555;;;;;
1666;EVENTISES INNOVATIVE SECURE EVENT SYSTEM, S.L.;EVENTISES TICKETSELF;58.000,00 €;08/03/2019;Bizkaia;País Vasco;B95833539;;;;;
1667;CAFÉ LEATHER SUPPLY, S.L.;Café Leather Supply;64.000,00 €;08/03/2019;Madrid;Madrid, Comunidad de;;;;;;
1668;BEWE DIGITAL SOLUTIONS , S.L.;BEWE;300.000,00 €;24/04/2019;Madrid;Madrid, Comunidad de;;;;;;
1669;HOLDED TECHNOLOGIES, S.L.;Holded;275.000,00 €;24/04/2019;Barcelona;Cataluña;B66543778;;;;;
1670;HOLDED TECHNOLOGIES, S.L.;Holded;275.000,00 €;24/04/2019;Barcelona;Cataluña;B66543778;;;;;
1671;EASYGOBAND WORLD, S.L.;EASYGOBAND;125.000,00 €;24/04/2019;Castellón/Castelló;Comunitat Valenciana;B12984712;;;;;
1672;LIKEMINDED TECHNOLOGIES, S.L.;STREAMLOOTS;125.000,00 €;23/04/2019;Murcia;Murcia, Región de;B30912885;;;;;
