;Razón Social;Marca;Importe;Fecha;Provincia;CCAA;CIF;Axesor URL;Dirección;Constitución;CNAE;SIC
24;VS INGENIERÍA DE SOFTWARE EMPRESARIAL, S.L.;GRUPO VS;118.000,00 €;27/01/2021;Valencia/València;Comunitat Valenciana;;;;;;
25;YOLEO EDUTAINMENT, S.L.;YOLEO;58.000,00 €;27/01/2021;Barcelona;Cataluña;B66011040;;;;;
26;KNOWLEDGEFY TECHNOLOGIES, S.L.;KNOWLEDGEFY;208.000,00 €;26/01/2021;Málaga;Andalucía;B93457547;;;;;
27;KNOWLEDGEFY TECHNOLOGIES, S.L.;KNOWLEDGEFY;208.000,00 €;26/01/2021;Málaga;Andalucía;B93457547;;;;;
28;KNOWLEDGEFY TECHNOLOGIES, S.L.;KNOWLEDGEFY;208.000,00 €;26/01/2021;Málaga;Andalucía;B93457547;;;;;
29;BLOOMING EXPERIENCE, S.L.;Blooming;727.000,00 €;26/01/2021;Valencia/València;Comunitat Valenciana;B66823287;;;;;
30;BLOOMING EXPERIENCE, S.L.;Blooming;727.000,00 €;26/01/2021;Valencia/València;Comunitat Valenciana;B66823287;;;;;
31;BLOOMING EXPERIENCE, S.L.;Blooming;727.000,00 €;26/01/2021;Valencia/València;Comunitat Valenciana;B66823287;;;;;
32;NOGEBUS, S.L.;NOGEBUS;275.000,00 €;25/01/2021;Girona;Cataluña;B55168439;;;;;
33;NOGEBUS, S.L.;NOGEBUS;275.000,00 €;25/01/2021;Girona;Cataluña;B55168439;;;;;
34;WOLO REALTECH, S.L.;WOLORENT;195.000,00 €;25/01/2021;Barcelona;Cataluña;B67436600;;;;;
35;IGLUCO TECH, S.L.;SleepControl;180.000,00 €;22/01/2021;Sevilla;Andalucía;;;;;;
36;YUKAR DIGITAL, S.L.;Cleer;180.000,00 €;22/01/2021;Barcelona;Cataluña;B67559740;;;;;
37;SMARTFINCAS, S.L.;Smartfincas;75.000,00 €;22/01/2021;Barcelona;Cataluña;B67373498;;;;;
38;ORDATIC, S.L.;ORDATIC;100.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana;B40573883;;;;;
39;GAYCON FISCAL, S.L.;GAYCON;300.000,00 €;22/01/2021;Madrid;Madrid, Comunidad de;B84177351;;;;;
40;IDENCITV ASESORIA DE CIUDADES, S.L.;IDENCITY;224.000,00 €;20/01/2021;Barcelona;Cataluña;;;;;;
41;MIMOTO PARKING, S.L.;MIMOTO PARKING;125.000,00 €;20/01/2021;Madrid;Madrid, Comunidad de;B42588103;;;;;
42;ZANKYOU VENTURES, S.L.;Zankyou Weddings;300.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85337053;;;;;
43;GENIUS EMOBILITY SYSTEMS, S.L.;Mooevo;200.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B88229968;;;;;
44;CHATARRAS Y METALES JUMILLA, S.L.U.;CHATARRAS JUMILLA;120.000,00 €;19/01/2021;Murcia;Murcia, Región de;;;;;;
45;IOMED MEDICAL SOLUTIONS, S.L.;IOMED;200.000,00 €;19/01/2021;Barcelona;Cataluña;B66774969;;;;;
46;IOMED MEDICAL SOLUTIONS, S.L.;IOMED;200.000,00 €;19/01/2021;Barcelona;Cataluña;B66774969;;;;;
47;IOMED MEDICAL SOLUTIONS, S.L.;IOMED;200.000,00 €;19/01/2021;Barcelona;Cataluña;B66774969;;;;;
48;PREMIUMGUEST, S.L.;Premium Guest;84.000,00 €;18/01/2021;Barcelona;Cataluña;B67131839;;;;;
49;PREMIUMGUEST, S.L.;Premium Guest;84.000,00 €;18/01/2021;Barcelona;Cataluña;B67131839;;;;;
50;MOONSHOT INNOVATION, S.L.;Moonshot;85.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de;B87902573;;;;;
51;ADJUSTICA ROBOTICS, S.L.U.;Ntente;44.000,00 €;15/01/2021;Pontevedra;Galicia;;;;;;
52;BIO UNICORN, S.L.;Aldous Bio;162.000,00 €;14/01/2021;Cuenca;Castilla - La Mancha;B16340218;;;;;
53;PROTECHTEDBAGS, S.L.;Bag on Board;500.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87729349;;;;;
54;PROTECHTEDBAGS, S.L.;Bag on Board;500.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87729349;;;;;
55;AFEEDME, S.L.;AFEEDME;152.000,00 €;07/01/2021;Huelva;Andalucía;B21601729;;;;;
56;ESTO ES COMER, S.L.;ESTO ES, COMER COMER;138.000,00 €;23/12/2020;Madrid;Madrid, Comunidad de;B88549449;;;;;
57;TWELVE OAKS PICTURES SL (ANTERIOR FRIKI FILMS), S.L.;TWELVE OAKS PICTURES;145.000,00 €;22/12/2020;Barcelona;Cataluña;;;;;;
58;TUCUVI CARE, S.L.;Tucuvi;130.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B95969705;;;;;
59;EMPLOYEES ASSISTANCE PROGRAMMMES IBERIA, S.L.;Yees;50.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;;;;;;
60;BYLD STARTUPS, S.L.;SONAR CORPORATE BUILDING;137.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B87817904;;;;;
61;BYLD STARTUPS, S.L.;SONAR CORPORATE BUILDING;137.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;B87817904;;;;;
62;BIO FRUIT FARMERS, S.L.;BIOFRUIT;210.000,00 €;22/12/2020;Asturias;Asturias, Principado de;B71380067;;;;;
63;SERVICIOS LOGÍSTICOS WANATRUCK, S.L.;Wanatruck;144.000,00 €;22/12/2020;Madrid;Madrid, Comunidad de;;;;;;
64;B. CERO CONGELADOS 2011, S.L.;BAJO CERO;270.000,00 €;22/12/2020;Balears, Illes;Balears, Illes;B57945180;;;;;
65;VALQUIETA, S.L.;LE ROOM SERVICE;300.000,00 €;22/12/2020;Sevilla;Andalucía;B90332479;;;;;
66;NORA REAL FOOD, S.L.;NORA REAL FOOD;240.000,00 €;19/12/2020;Barcelona;Cataluña;;;;;;
67;INSECTFIT, S.L.;InsectFit;123.000,00 €;19/12/2020;Valencia/València;Comunitat Valenciana;B98961246;;;;;
68;ACCURE THERAPEUTICS, S.L.;IPROTEOS;200.000,00 €;06/06/2017;Barcelona;Cataluña;B67623421;;;;;
69;DONEXT DIGITAL SOLUTIONS, S.L.;DONEXT;73.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B88410634;;;;;
70;KIPLOC EUROPE, S.L.;KIPLOC;128.000,00 €;03/02/2021;Barcelona;Cataluña;B67549873;;;;;
71;INGENIERIA SOCIAL, S.A.L.;INGENIERIA SOCIAL;125.000,00 €;29/01/2021;Barcelona;Cataluña;A64842800;;;;;
72;DAWAKO MEDTECH, S.L.;DAWAKO;225.000,00 €;28/01/2021;Valencia/València;Comunitat Valenciana;B40514416;;;;;
73;IRONCHIP TELCO, S.L.;IRONCHIP TELCO;200.000,00 €;27/01/2021;Bizkaia;País Vasco;B95880332;;;;;
74;LA SIESTA TECHNOLOGIES, S.L.U.;La Siesta;30.000,00 €;26/01/2021;Alicante/Alacant;Comunitat Valenciana;;;;;;
75;QUICKJUICE, S.L.;Quickjuice;180.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana;B16572521;;;;;
76;TRATAMIENTO SUPERFICIAL ROBOTIZADO, S.L.;TSR Wind;240.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85478311;;;;;
77;TRATAMIENTO SUPERFICIAL ROBOTIZADO, S.L.;TSR Wind;240.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de;B85478311;;;;;
78;FASTBASE SOLUTIONS, S.L.;FASTBASE;150.000,00 €;19/01/2021;Bizkaia;País Vasco;B95827903;;;;;
79;3ANTS DEVELOPMENT AND STRATEGIES, S.L.;Smart Protection;705.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de;;;;;;
80;MICO GREEN TECHNOLOGY, S.L.;Micocar;181.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87007605;;;;;
81;MICO GREEN TECHNOLOGY, S.L.;Micocar;181.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de;B87007605;;;;;
82;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;22/03/2018;Barcelona;Cataluña;B65118531;;;;;
83;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;22/03/2018;Barcelona;Cataluña;B65118531;;;;;
84;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;11/12/2013;Barcelona;Cataluña;B65118531;;;;;
85;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;11/12/2013;Barcelona;Cataluña;B65118531;;;;;
86;TROMBOLOTE COMPANY, S.L.;BASICO FOODS;61.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B88414099;;;;;
87;PANDA MOTOS, S.L.;PANDA BIKES;67.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B88562459;;;;;
88;EARTHFUTURE SOLUTIONS, S.L.;HOBEEN;62.000,00 €;16/12/2020;Araba/Álava;País Vasco;B01579788;;;;;
89;DELICIOUS KITCHEN, S.L.U.;Delicious Kitchen Incubator;67.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;;;;;;
90;ULTIMATE GAMERS, S.L.;Ultimate Gamers;68.000,00 €;15/12/2020;Barcelona;Cataluña;B67620088;;;;;
91;PROFES EN APUROS, S.L.;Dos profes en apuros;63.000,00 €;15/12/2020;Barcelona;Cataluña;B67597468;;;;;
92;PENTACREDIT MARKETING, S.L.;Pentacredit;50.000,00 €;11/12/2020;Valencia/València;Comunitat Valenciana;B40608846;;;;;
93;SINGULARITY BIOMED, S.L.;Singularity Biomed;51.000,00 €;11/12/2020;Barcelona;Cataluña;B67399923;;;;;
94;JACAR ENGLISH, S.L.;Great Little People;67.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88039169;;;;;
95;PROTE CORP, S.L.;PROTE;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88470224;;;;;
96;PARENTING ONLINE, S.L.;AMA CLINICS;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88596283;;;;;
97;INVIERTIS PROPERTIES, S.L.;INVIERTIS;62.000,00 €;10/12/2020;Barcelona;Cataluña;B67357137;;;;;
98;NEXT GEN CAPITAL, S.L.;NEXT GEN;45.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B88569025;;;;;
99;FOOD STORIES, S.L.;FOOD STORIES;67.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B88466461;;;;;
100;HEDYLA TECHNOLOGIES, S.L.;HEDYLA;33.000,00 €;02/12/2020;Barcelona;Cataluña;B67447458;;;;;
101;SYRA COFFEE, S.L.;Syra Coffee;70.000,00 €;30/11/2020;Barcelona;Cataluña;B67406223;;;;;
102;LA CAFE ORIGINAL, S.L.;LA CAFE ORIGINAL;64.000,00 €;27/11/2020;Barcelona;Cataluña;B01598515;;;;;
103;GLAMPING LA DEHESA, S.L.;Glamping La Dehesa;60.000,00 €;24/11/2020;Córdoba;Andalucía;B56107774;;;;;
104;ODISEI MUSIC, S.L.;TRAVEL SAX;32.000,00 €;24/11/2020;Barcelona;Cataluña;B67566026;;;;;
105;PORTER DELIVERY & MOVING, S.L.;PORTER;67.000,00 €;19/11/2020;Madrid;Madrid, Comunidad de;;;;;;
106;ICOMMUNITY LABS & TECH, S.L.;iCommunity Labs;68.000,00 €;17/11/2020;Madrid;Madrid, Comunidad de;;;;;;
107;COMOVITA EUROPE, S.L.;Comovita;48.000,00 €;16/11/2020;Barcelona;Cataluña;B67589150;;;;;
108;SERVIPYME NEWTECH, S.L.;Servipyme;62.000,00 €;16/11/2020;Valencia/València;Comunitat Valenciana;B40653081;;;;;
