;Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.
54;ACCURE THERAPEUTICS, S.L.;IPROTEOS;200.000,00 €;06/06/2017;Barcelona;Cataluña
55;DONEXT DIGITAL SOLUTIONS, S.L.;DONEXT;73.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de
56;KIPLOC EUROPE, S.L.;KIPLOC;128.000,00 €;03/02/2021;Barcelona;Cataluña
57;INGENIERIA SOCIAL, S.A.L.;INGENIERIA SOCIAL;125.000,00 €;29/01/2021;Barcelona;Cataluña
58;DAWAKO MEDTECH, S.L.;DAWAKO;225.000,00 €;28/01/2021;Valencia/València;Comunitat Valenciana
59;IRONCHIP TELCO, S.L.;IRONCHIP TELCO;200.000,00 €;27/01/2021;Bizkaia;País Vasco
60;LA SIESTA TECHNOLOGIES, S.L.U.;La Siesta;30.000,00 €;26/01/2021;Alicante/Alacant;Comunitat Valenciana
61;QUICKJUICE, S.L.;Quickjuice;180.000,00 €;22/01/2021;Valencia/València;Comunitat Valenciana
62;TRATAMIENTO SUPERFICIAL ROBOTIZADO, S.L.;TSR Wind;240.000,00 €;19/01/2021;Madrid;Madrid, Comunidad de
63;FASTBASE SOLUTIONS, S.L.;FASTBASE;150.000,00 €;19/01/2021;Bizkaia;País Vasco
64;3ANTS DEVELOPMENT AND STRATEGIES, S.L.;Smart Protection;705.000,00 €;18/01/2021;Madrid;Madrid, Comunidad de
65;MICO GREEN TECHNOLOGY, S.L.;Micocar;181.000,00 €;07/01/2021;Madrid;Madrid, Comunidad de
66;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;22/03/2018;Barcelona;Cataluña
67;VYTRUS BIOTECH, S.A.;PHYTURE BIOTECH;100.000,00 €;11/12/2013;Barcelona;Cataluña
68;TROMBOLOTE COMPANY, S.L.;BASICO FOODS;61.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de
69;PANDA MOTOS, S.L.;PANDA BIKES;67.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de
70;EARTHFUTURE SOLUTIONS, S.L.;HOBEEN;62.000,00 €;16/12/2020;Araba/Álava;País Vasco
71;DELICIOUS KITCHEN, S.L.U.;Delicious Kitchen Incubator;67.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de
