;90d_enisa;Marca
0;12;Twenix
1;8;CULTIPLY
2;6;Nespra
3;4;Aldous Bio
4;4;Noysi
5;4;Cleer
6;3;IOMED
7;2;Smart Protection
8;2;THE NEEDO
9;1;micole
10;1;FOOD STORIES
11;1;Yees
12;1;Bag on Board
13;1;VOLAVA
14;1;BCOME
15;1;Smartfincas
16;1;Great Little People
17;1;ENCANTADO DE COMERTE
18;1;MEETOPTICS
19;1;Ntente
